AttributeColumn,Match,Analyte,StdUnits
Tl_AR25/MS_K,Start_sep,Tl,PPM
Tl_AR25/MS_ppm,Start_sep,Tl,PPM
Tl_AR25/MS_ppm_0,Start_sep,Tl,PPM
Tl_AR25MS_ppm,Start_sep,Tl,PPM
Tl_AR25MS_ppm_0.05,Start_sep,Tl,PPM
Tl_AR25OE_ppm,Start_sep,Tl,PPM
Tl_AR25_OE,Start_sep,Tl,PPM
Tl_AR25_OES_ppm,Start_sep,Tl,PPM
Tl_AR25_OE_1,Start_sep,Tl,PPM
Tl_AR25_ppm,Start_sep,Tl,PPM
Tl_ARU25MS_ppm,Start_sep,Tl,PPM
Tl_ARU25OE_ppm,Start_sep,Tl,PPM
Tl_AR_OES_,Start_sep,Tl,PPM
Tl_AR_OES_ppm,Start_sep,Tl,PPM
Tl_AR_OES_ppm_1,Start_sep,Tl,PPM
Tl_AR_ppm,Start_sep,Tl,PPM
Tl_ATMS_ppm,Start_sep,Tl,PPM
Tl_B/AAS,Start_sep,Tl,PPM
Tl_B25/MS_ppm_0_0_01,Start_sep,Tl,PPM
Tl_B25MS_ppm,Start_sep,Tl,PPM
Tl_BMS_m,Start_sep,Tl,PPM
Tl_BVegMS_ppb,Start_sep,Tl,PPM
Tl_DL,Start_sep,Tl,PPM
Tl_DLUnits,Start_sep,Tl,PPM
Tl_EL_ppb,Start_sep,Tl,PPM
Tl_EXPL_ppb,Start_sep,Tl,PPM
Tl_HFICPUT4_ppm,Start_sep,Tl,PPM
Tl_HFICP_ppm,Start_sep,Tl,PPM
Tl_HFICP_ppm_0_0_05,Start_sep,Tl,PPM
Tl_HHXRF_ppm,Start_sep,Tl,PPM
Tl_ICP302_ppm,Start_sep,Tl,PPM
Tl_ICPMS_ppm,Start_sep,Tl,PPM
Tl_ICP_ppm,Start_sep,Tl,PPM
Tl_IMS40Q,Start_sep,Tl,PPM
Tl_IMS40Q_,Start_sep,Tl,PPM
Tl_IMS40Q_0#1_1000_PPM,Start_sep,Tl,PPM
Tl_IMS40Q_PPM,Start_sep,Tl,PPM
Tl_LA,Start_sep,Tl,PPM
Tl_LA101_ppm,Start_sep,Tl,PPM
Tl_LowerLimit,Confidence,NULL,NULL
Tl_MA-ICPMS-AES_ppm,Start_sep,Tl,PPM
Tl_MA-ICPMS_PPM,Start_sep,Tl,PPM
Tl_MA102_ppm,Start_sep,Tl,PPM
Tl_MA4031_ppm,Start_sep,Tl,PPM
Tl_MA40MS_ppm,Start_sep,Tl,PPM
Tl_MA40_MS,Start_sep,Tl,PPM
Tl_MA40_MS_1,Start_sep,Tl,PPM
Tl_MA40_MS_ppm,Start_sep,Tl,PPM
Tl_MA40_OE,Start_sep,Tl,PPM
Tl_MA40_OES_ppm,Start_sep,Tl,PPM
Tl_MAR01M_ppm,Start_sep,Tl,PPM
Tl_ME-MS41,Start_sep,Tl,PPM
Tl_ME-MS41_ppm,Start_sep,Tl,PPM
Tl_ME-MS61_ppm,Start_sep,Tl,PPM
Tl_ME-MS61r,Start_sep,Tl,PPM
Tl_ME-MS81_ppm,Start_sep,Tl,PPM
Tl_MEMS41_ppm,Start_sep,Tl,PPM
Tl_MEMS61_ppm,Start_sep,Tl,PPM
Tl_MEMS61_ppm_DSC,Start_sep,Tl,PPM
Tl_MEMS61_ppm_dsc,Start_sep,Tl,PPM
Tl_ME_ICP61_ppm,Start_sep,Tl,PPM
Tl_ME_MS41_ppm,Start_sep,Tl,PPM
Tl_ME_MS43I_ppm,Start_sep,Tl,PPM
